"origin" "uniprot" "protein" "description"
"58" "sp" "A1A580" "KR231" " Keratin-associated protein 23-1 OS=Homo sapiens OX=9606 GN=KRTAP23-1 PE=1 SV=1"
"59" "sp" "A6NIH7" "U119B" " Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1"
"60" "sp" "O00253" "AGRP" " Agouti-related protein OS=Homo sapiens OX=9606 GN=AGRP PE=1 SV=1"
"61" "sp" "P04554" "PRM2" " Protamine-2 OS=Homo sapiens OX=9606 GN=PRM2 PE=1 SV=3"
"62" "sp" "P16402" "H13" " Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2"
"63" "sp" "P20155" "ISK2" " Serine protease inhibitor Kazal-type 2 OS=Homo sapiens OX=9606 GN=SPINK2 PE=1 SV=2"
"64" "sp" "P25208" "NFYB" " Nuclear transcription factor Y subunit beta OS=Homo sapiens OX=9606 GN=NFYB PE=1 SV=2"
"65" "sp" "P26436" "ASPX" " Acrosomal protein SP-10 OS=Homo sapiens OX=9606 GN=ACRV1 PE=1 SV=2"
"66" "sp" "P56277" "CMC4" " Cx9C motif-containing protein 4 OS=Homo sapiens OX=9606 GN=CMC4 PE=1 SV=1"
"67" "sp" "Q14582" "MAD4" " Max dimerization protein 4 OS=Homo sapiens OX=9606 GN=MXD4 PE=1 SV=2"
"68" "sp" "Q9BYR2" "KRA45" " Keratin-associated protein 4-5 OS=Homo sapiens OX=9606 GN=KRTAP4-5 PE=1 SV=4"
"69" "sp" "Q9BZS9" "YG041" " Putative uncharacterized protein PNAS-138 OS=Homo sapiens OX=9606 GN=PNAS-138 PE=5 SV=1"
"70" "sp" "O95816" "BAG2" " BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1"
"71" "sp" "P09341" "GROA" " Growth-regulated alpha protein OS=Homo sapiens OX=9606 GN=CXCL1 PE=1 SV=1"
"72" "sp" "P31949" "S10AB" " Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2"
"73" "sp" "P43652" "AFAM" " Afamin OS=Homo sapiens OX=9606 GN=AFM PE=1 SV=1"
"74" "sp" "P57053" "H2BFS" " Histone H2B type F-S OS=Homo sapiens OX=9606 GN=H2BC12L PE=1 SV=2"
"75" "sp" "Q02539" "H11" " Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3"
"76" "sp" "Q96D21" "RHES" " GTP-binding protein Rhes OS=Homo sapiens OX=9606 GN=RASD2 PE=1 SV=1"
"77" "sp" "A6NKF1" "SAC31" " SAC3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SAC3D1 PE=1 SV=2"
"78" "sp" "O14810" "CPLX1" " Complexin-1 OS=Homo sapiens OX=9606 GN=CPLX1 PE=1 SV=1"
"79" "sp" "O60675" "MAFK" " Transcription factor MafK OS=Homo sapiens OX=9606 GN=MAFK PE=1 SV=1"
"80" "sp" "P0C0S8" "H2A1" " Histone H2A type 1 OS=Homo sapiens OX=9606 GN=H2AC17 PE=1 SV=2"
"81" "sp" "P0DMU8" "CT455" " Cancer/testis antigen family 45 member A5 OS=Homo sapiens OX=9606 GN=CT45A5 PE=2 SV=1"
"82" "sp" "Q5TEC6" "H37" " Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1"
"83" "sp" "Q6FI13" "H2A2A" " Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=H2AC19 PE=1 SV=3"
"84" "sp" "Q9H1M3" "DB129" " Beta-defensin 129 OS=Homo sapiens OX=9606 GN=DEFB129 PE=1 SV=1"
"85" "tr" "A0A075B6V1" "A0A075B6V1" " T cell receptor alpha joining 43 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ43 PE=4 SV=1"
"86" "sp" "O95298" "NDUC2" " NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens OX=9606 GN=NDUFC2 PE=1 SV=1"
"87" "sp" "P22528" "SPR1B" " Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2"
"88" "sp" "P49407" "ARRB1" " Beta-arrestin-1 OS=Homo sapiens OX=9606 GN=ARRB1 PE=1 SV=2"
"89" "sp" "P62310" "LSM3" " U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens OX=9606 GN=LSM3 PE=1 SV=2"
"90" "sp" "Q16594" "TAF9" " Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1"
"91" "sp" "Q4G0G5" "SC2B2" " Secretoglobin family 2B member 2 OS=Homo sapiens OX=9606 GN=SCGB2B2 PE=1 SV=1"
"92" "sp" "Q6NZY7" "BORG3" " Cdc42 effector protein 5 OS=Homo sapiens OX=9606 GN=CDC42EP5 PE=2 SV=1"
"93" "sp" "Q8TBJ4" "PLPR1" " Phospholipid phosphatase-related protein type 1 OS=Homo sapiens OX=9606 GN=PLPPR1 PE=1 SV=1"
"94" "sp" "Q9NYL9" "TMOD3" " Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1"
"95" "sp" "Q9Y4Y9" "LSM5" " U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens OX=9606 GN=LSM5 PE=1 SV=3"
"96" "sp" "O75347" "TBCA" " Tubulin-specific chaperone A OS=Homo sapiens OX=9606 GN=TBCA PE=1 SV=3"
"97" "sp" "P0CE71" "OCM2" " Putative oncomodulin-2 OS=Homo sapiens OX=9606 GN=OCM2 PE=5 SV=1"
"98" "sp" "Q02577" "HEN2" " Helix-loop-helix protein 2 OS=Homo sapiens OX=9606 GN=NHLH2 PE=1 SV=1"
"99" "sp" "Q3LI73" "KR194" " Keratin-associated protein 19-4 OS=Homo sapiens OX=9606 GN=KRTAP19-4 PE=1 SV=1"
"100" "sp" "Q8NHU0" "CT453" " Cancer/testis antigen family 45 member A3 OS=Homo sapiens OX=9606 GN=CT45A3 PE=1 SV=1"
"101" "sp" "Q96E11" "RRFM" " Ribosome-recycling factor, mitochondrial OS=Homo sapiens OX=9606 GN=MRRF PE=1 SV=1"
"102" "tr" "A0A6Q8PGS0" "A0A6Q8PGS0" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"103" "tr" "A0N4X2" "A0N4X2" " Possible J 40 gene segment (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ40 PE=4 SV=1"
"104" "sp" "O00168" "PLM" " Phospholemman OS=Homo sapiens OX=9606 GN=FXYD1 PE=1 SV=2"
"105" "sp" "P31151" "S10A7" " Protein S100-A7 OS=Homo sapiens OX=9606 GN=S100A7 PE=1 SV=4"
"106" "sp" "Q53H64" "AK40L" " Putative ANKRD40 C-terminal-like protein OS=Homo sapiens OX=9606 GN=ANKRD40CL PE=4 SV=2"
"107" "sp" "Q9BYR5" "KRA42" " Keratin-associated protein 4-2 OS=Homo sapiens OX=9606 GN=KRTAP4-2 PE=1 SV=2"
"108" "sp" "A0A096LP55" "QCR6L" " Cytochrome b-c1 complex subunit 6-like, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRHL PE=3 SV=1"
"109" "sp" "P0DPH9" "CX05B" " Uncharacterized protein CXorf51B OS=Homo sapiens OX=9606 GN=CXorf51B PE=1 SV=1"
"110" "sp" "P20774" "MIME" " Mimecan OS=Homo sapiens OX=9606 GN=OGN PE=1 SV=1"
"111" "sp" "Q538Z0" "LUZP6" " Leucine zipper protein 6 OS=Homo sapiens OX=9606 GN=LUZP6 PE=1 SV=1"
"112" "sp" "Q9UKT9" "IKZF3" " Zinc finger protein Aiolos OS=Homo sapiens OX=9606 GN=IKZF3 PE=1 SV=2"
"113" "sp" "P0DPF2" "NBPFK" " Neuroblastoma breakpoint family member 20 OS=Homo sapiens OX=9606 GN=NBPF20 PE=1 SV=1"
"114" "sp" "P26599" "PTBP1" " Polypyrimidine tract-binding protein 1 OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=2"
"115" "sp" "P60660" "MYL6" " Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2"
"116" "sp" "Q96GS4" "BORC6" " BLOC-1-related complex subunit 6 OS=Homo sapiens OX=9606 GN=BORCS6 PE=1 SV=2"
"117" "sp" "Q96IX5" "ATPMK" " ATP synthase membrane subunit K, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MK PE=1 SV=1"
"118" "sp" "Q96K80" "ZC3HA" " Zinc finger CCCH domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZC3H10 PE=1 SV=1"
"119" "sp" "Q9H0Z9" "RBM38" " RNA-binding protein 38 OS=Homo sapiens OX=9606 GN=RBM38 PE=1 SV=2"
"120" "sp" "B3EWG5" "FM25C" " Protein FAM25C OS=Homo sapiens OX=9606 GN=FAM25C PE=1 SV=1"
"121" "sp" "Q5SY68" "S1A7B" " Protein S100-A7-like 2 OS=Homo sapiens OX=9606 GN=S100A7L2 PE=1 SV=1"
"122" "sp" "Q6NZ67" "MZT2B" " Mitotic-spindle organizing protein 2B OS=Homo sapiens OX=9606 GN=MZT2B PE=1 SV=1"
"123" "sp" "Q9H6L4" "ARMC7" " Armadillo repeat-containing protein 7 OS=Homo sapiens OX=9606 GN=ARMC7 PE=1 SV=1"
"124" "sp" "Q9NY87" "SPNXC" " Sperm protein associated with the nucleus on the X chromosome C OS=Homo sapiens OX=9606 GN=SPANXC PE=1 SV=2"
"125" "sp" "P01116" "RASK" " GTPase KRas OS=Homo sapiens OX=9606 GN=KRAS PE=1 SV=1"
"126" "sp" "P03901" "NU4LM" " NADH-ubiquinone oxidoreductase chain 4L OS=Homo sapiens OX=9606 GN=MT-ND4L PE=1 SV=1"
"127" "sp" "P08579" "RU2B" " U2 small nuclear ribonucleoprotein B'' OS=Homo sapiens OX=9606 GN=SNRPB2 PE=1 SV=1"
"128" "sp" "Q8TBZ0" "CC110" " Coiled-coil domain-containing protein 110 OS=Homo sapiens OX=9606 GN=CCDC110 PE=1 SV=1"
"129" "sp" "Q96PL1" "SG3A2" " Secretoglobin family 3A member 2 OS=Homo sapiens OX=9606 GN=SCGB3A2 PE=1 SV=1"
"130" "sp" "Q9BUL8" "PDC10" " Programmed cell death protein 10 OS=Homo sapiens OX=9606 GN=PDCD10 PE=1 SV=1"
"131" "sp" "Q9BYE7" "PCGF6" " Polycomb group RING finger protein 6 OS=Homo sapiens OX=9606 GN=PCGF6 PE=1 SV=2"
"132" "sp" "O43513" "MED7" " Mediator of RNA polymerase II transcription subunit 7 OS=Homo sapiens OX=9606 GN=MED7 PE=1 SV=1"
"133" "sp" "O96001" "PPR17" " Protein phosphatase 1 regulatory subunit 17 OS=Homo sapiens OX=9606 GN=PPP1R17 PE=1 SV=2"
"134" "sp" "P0CJ71" "HMN4" " Humanin-like 4 OS=Homo sapiens OX=9606 GN=MTRNR2L4 PE=2 SV=1"
"135" "sp" "P0DMC3" "ELA" " Apelin receptor early endogenous ligand OS=Homo sapiens OX=9606 GN=APELA PE=1 SV=1"
"136" "sp" "P29034" "S10A2" " Protein S100-A2 OS=Homo sapiens OX=9606 GN=S100A2 PE=1 SV=3"
"137" "sp" "Q04118" "PRB3" " Basic salivary proline-rich protein 3 OS=Homo sapiens OX=9606 GN=PRB3 PE=1 SV=2"
"138" "sp" "Q6IPW1" "CK071" " Uncharacterized protein C11orf71 OS=Homo sapiens OX=9606 GN=C11orf71 PE=2 SV=2"
"139" "sp" "Q9H2X8" "I27L2" " Interferon alpha-inducible protein 27-like protein 2 OS=Homo sapiens OX=9606 GN=IFI27L2 PE=2 SV=1"
"140" "sp" "Q9UBS3" "DNJB9" " DnaJ homolog subfamily B member 9 OS=Homo sapiens OX=9606 GN=DNAJB9 PE=1 SV=1"
"141" "sp" "A0A286YEV6" "SCGR4" " Small cysteine and glycine repeat-containing protein 4 OS=Homo sapiens OX=9606 GN=SCYGR4 PE=1 SV=1"
"142" "sp" "P0DPI4" "TDB01" " T cell receptor beta diversity 1 OS=Homo sapiens OX=9606 GN=TRBD1 PE=4 SV=1"
"143" "sp" "P26371" "KRA59" " Keratin-associated protein 5-9 OS=Homo sapiens OX=9606 GN=KRTAP5-9 PE=1 SV=1"
"144" "sp" "P98179" "RBM3" " RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1"
"145" "sp" "Q07020" "RL18" " 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=2"
"146" "sp" "Q6P582" "MZT2A" " Mitotic-spindle organizing protein 2A OS=Homo sapiens OX=9606 GN=MZT2A PE=1 SV=2"
"147" "sp" "Q9H0R4" "HDHD2" " Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=HDHD2 PE=1 SV=1"
"148" "sp" "Q9Y244" "POMP" " Proteasome maturation protein OS=Homo sapiens OX=9606 GN=POMP PE=1 SV=1"
"149" "tr" "A0A075B6V8" "A0A075B6V8" " T cell receptor alpha joining 5 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ5 PE=4 SV=1"
"150" "sp" "P04908" "H2A1B" " Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC8 PE=1 SV=2"
"151" "sp" "P07305" "H10" " Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3"
"152" "sp" "P49207" "RL34" " 60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3"
"153" "sp" "P50151" "GBG10" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 OS=Homo sapiens OX=9606 GN=GNG10 PE=1 SV=1"
"154" "sp" "P62314" "SMD1" " Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1"
"155" "sp" "Q8N146" "OR8H3" " Olfactory receptor 8H3 OS=Homo sapiens OX=9606 GN=OR8H3 PE=3 SV=1"
"156" "sp" "Q8TAD7" "OCC1" " Overexpressed in colon carcinoma 1 protein OS=Homo sapiens OX=9606 GN=OCC1 PE=1 SV=2"
"157" "sp" "Q9BVV8" "F174C" " Protein FAM174C OS=Homo sapiens OX=9606 GN=FAM174C PE=1 SV=2"
"158" "sp" "Q9NX55" "HYPK" " Huntingtin-interacting protein K OS=Homo sapiens OX=9606 GN=HYPK PE=1 SV=3"
"159" "sp" "A0A075B706" "TRDJ1" " T cell receptor delta joining 1 OS=Homo sapiens OX=9606 GN=TRDJ1 PE=1 SV=2"
"160" "sp" "P05496" "AT5G1" " ATP synthase F(0) complex subunit C1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MC1 PE=1 SV=2"
"161" "sp" "P62318" "SMD3" " Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1"
"162" "sp" "Q13503" "MED21" " Mediator of RNA polymerase II transcription subunit 21 OS=Homo sapiens OX=9606 GN=MED21 PE=1 SV=1"
"163" "sp" "Q5I0X7" "TTC32" " Tetratricopeptide repeat protein 32 OS=Homo sapiens OX=9606 GN=TTC32 PE=1 SV=1"
"164" "sp" "Q9NRY2" "SOSSC" " SOSS complex subunit C OS=Homo sapiens OX=9606 GN=INIP PE=1 SV=1"
"165" "sp" "A0A286YF77" "SCGR6" " Small cysteine and glycine repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=SCYGR6 PE=1 SV=1"
"166" "sp" "O94905" "ERLN2" " Erlin-2 OS=Homo sapiens OX=9606 GN=ERLIN2 PE=1 SV=1"
"167" "sp" "P10301" "RRAS" " Ras-related protein R-Ras OS=Homo sapiens OX=9606 GN=RRAS PE=1 SV=1"
"168" "sp" "P48047" "ATPO" " ATP synthase subunit O, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PO PE=1 SV=1"
"169" "sp" "P61925" "IPKA" " cAMP-dependent protein kinase inhibitor alpha OS=Homo sapiens OX=9606 GN=PKIA PE=1 SV=2"
"170" "sp" "Q96FQ7" "CR018" " Putative uncharacterized protein encoded by LINC00526 OS=Homo sapiens OX=9606 GN=LINC00526 PE=5 SV=1"
"171" "sp" "Q99615" "DNJC7" " DnaJ homolog subfamily C member 7 OS=Homo sapiens OX=9606 GN=DNAJC7 PE=1 SV=2"
"172" "tr" "A0A0A0MTA2" "A0A0A0MTA2" " T cell receptor beta joining 2-2P (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRBJ2-2P PE=4 SV=1"
"173" "sp" "O75955" "FLOT1" " Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3"
"174" "sp" "P06454" "PTMA" " Prothymosin alpha OS=Homo sapiens OX=9606 GN=PTMA PE=1 SV=2"
"175" "sp" "P19875" "CXCL2" " C-X-C motif chemokine 2 OS=Homo sapiens OX=9606 GN=CXCL2 PE=1 SV=1"
"176" "sp" "P48539" "PCP4" " Calmodulin regulator protein PCP4 OS=Homo sapiens OX=9606 GN=PCP4 PE=1 SV=3"
"177" "sp" "P55773" "CCL23" " C-C motif chemokine 23 OS=Homo sapiens OX=9606 GN=CCL23 PE=1 SV=4"
"178" "tr" "A0A804HI29" "A0A804HI29" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"179" "sp" "O75409" "HYPM" " Huntingtin-interacting protein M OS=Homo sapiens OX=9606 GN=H2AP PE=1 SV=2"
"180" "sp" "Q9BTK2" "YX002" " Putative uncharacterized protein LOC642776 OS=Homo sapiens OX=9606 PE=5 SV=2"
"181" "sp" "E9PI22" "P23D1" " Proline-rich protein 23D1 OS=Homo sapiens OX=9606 GN=PRR23D1 PE=1 SV=1"
"182" "sp" "O75607" "NPM3" " Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3"
"183" "sp" "P07919" "QCR6" " Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRH PE=1 SV=2"
"184" "sp" "P10412" "H14" " Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2"
"185" "sp" "P40306" "PSB10" " Proteasome subunit beta type-10 OS=Homo sapiens OX=9606 GN=PSMB10 PE=1 SV=1"
"186" "sp" "Q14558" "KPRA" " Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Homo sapiens OX=9606 GN=PRPSAP1 PE=1 SV=2"
"187" "sp" "Q49B96" "COX19" " Cytochrome c oxidase assembly protein COX19 OS=Homo sapiens OX=9606 GN=COX19 PE=1 SV=1"
"188" "sp" "Q8N535" "CB052" " Putative uncharacterized protein encoded by LINC00471 OS=Homo sapiens OX=9606 GN=LINC00471 PE=5 SV=1"
"189" "sp" "Q9BUW7" "BBLN" " Bublin coiled-coil protein OS=Homo sapiens OX=9606 GN=BBLN PE=1 SV=1"
"190" "sp" "Q9NUM4" "T106B" " Transmembrane protein 106B OS=Homo sapiens OX=9606 GN=TMEM106B PE=1 SV=2"
"191" "sp" "Q9UKM9" "RALY" " RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1"
"192" "sp" "O95571" "ETHE1" " Persulfide dioxygenase ETHE1, mitochondrial OS=Homo sapiens OX=9606 GN=ETHE1 PE=1 SV=2"
"193" "sp" "P0DMB2" "CH088" " Uncharacterized protein C8orf88 OS=Homo sapiens OX=9606 GN=C8orf88 PE=4 SV=1"
